gene	mechanism	uniprot_id	source	g2p_disagrees
AAAS	LOF		g2p	
AARS1	LOF		g2p	
AARS2	AR	Q5JTZ9	gerasimavicius	
AASS	LOF		g2p	
ABAT	AR	P80404	gerasimavicius	
ABCA1	AR	O95477	gerasimavicius	
ABCA12	LOF		g2p	
ABCA4	LOF		g2p	
ABCB11	AR	O95342	gerasimavicius	
ABCC6	LOF		g2p	
ABCC9	GOF		g2p	
ABCD1	LOF		g2p	
ABCD4	AR	O14678	gerasimavicius	
ABCG5	AR	Q9H222	gerasimavicius	
ABCG8	AR	Q9H221	gerasimavicius	
ABHD12	LOF		g2p	
ABHD16A	LOF		g2p	
ABHD5	LOF		g2p	
ABL1	GOF		g2p	
ACAD8	AR	Q9UKU7	gerasimavicius	
ACAD9	LOF		g2p	
ACADM	AR	P11310	gerasimavicius	
ACADS	AR	P16219	gerasimavicius	
ACADSB	AR	P45954	gerasimavicius	
ACADVL	AR	P49748	gerasimavicius	
ACAN	LOF		g2p	
ACAT1	AR	P24752	gerasimavicius	
ACBD5	LOF		g2p	
ACBD6	LOF		g2p	
ACE	AR	P12821	gerasimavicius	
ACER3	AR	Q9NUN7	gerasimavicius	
ACO2	AR	Q99798	gerasimavicius	
ACOX1	LOF		g2p	
ACP5	AR	P13686	gerasimavicius	
ACSL4	LOF		g2p	
ACTB	GOF		g2p	
ACTG1	GOF		g2p	
ACTL6B	LOF		g2p	
ACVR1	GOF		g2p	
ACVRL1	HI	P37023	gerasimavicius	
ACY1	AR	Q03154	gerasimavicius	
ADA	LOF		g2p	
ADA2	AR	Q9NZK5	gerasimavicius	
ADAM22	AR	Q9P0K1	gerasimavicius	
ADAM9	LOF		g2p	
ADAMTS10	LOF		g2p	
ADAMTS13	AR	Q76LX8	gerasimavicius	
ADAMTS17	LOF		g2p	
ADAMTS18	LOF		g2p	
ADAMTS19	LOF		g2p	
ADAMTS2	LOF		g2p	
ADAMTSL2	LOF		g2p	
ADAMTSL4	LOF		g2p	
ADAR	LOF		g2p	
ADCY5	GOF	O95622	gerasimavicius	
ADGRG1	AR	Q9Y653	gerasimavicius	
ADGRG6	LOF		g2p	
ADGRV1	LOF		g2p	
ADK	AR	P55263	gerasimavicius	
ADNP	LOF		g2p	
ADPRS	LOF		g2p	
ADSL	AR	P30566	gerasimavicius	
AFF4	GOF		g2p	
AFG2A	LOF		g2p	
AFG3L2	LOF		g2p	
AGA	AR	P20933	gerasimavicius	
AGBL5	LOF		g2p	
AGK	LOF		g2p	
AGL	LOF		g2p	
AGPAT2	LOF		g2p	
AGPS	AR	O00116	gerasimavicius	
AGRN	AR	O00468	gerasimavicius	
AGT	AR	P01019	gerasimavicius	
AGTPBP1	LOF		g2p	
AGTR1	AR	P30556	gerasimavicius	
AGXT	AR	P21549	gerasimavicius	
AHCY	AR	P23526	gerasimavicius	
AHDC1	LOF		g2p	
AHI1	LOF		g2p	
AICDA	AR	Q9GZX7	gerasimavicius	
AIMP1	LOF		g2p	
AIP	LOF		g2p	
AIPL1	LOF		g2p	
AIRE	LOF		g2p	
AK1	AR	P00568	gerasimavicius	
AK2	AR	P54819	gerasimavicius	
AKR1C2	AR	P52895	gerasimavicius	
AKR1D1	AR	P51857	gerasimavicius	
AKT1	GOF		g2p	
AKT3	GOF	Q9Y243	gerasimavicius	
ALAD	AR	P13716	gerasimavicius	
ALDH18A1	DN		g2p	
ALDH1A3	AR	P47895	gerasimavicius	
ALDH3A2	AR	P51648	gerasimavicius	
ALDH4A1	AR	P30038	gerasimavicius	
ALDH5A1	AR	P51649	gerasimavicius	
ALDH7A1	AR	P49419	gerasimavicius	
ALDOB	AR	P05062	gerasimavicius	
ALG1	LOF		g2p	
ALG11	LOF		g2p	
ALG12	LOF		g2p	
ALG2	LOF		g2p	
ALG3	LOF		g2p	
ALG6	LOF		g2p	
ALG8	LOF		g2p	
ALG9	LOF		g2p	
ALK	GOF		g2p	
ALMS1	LOF		g2p	
ALOX12B	LOF		g2p	
ALOXE3	AR	Q9BYJ1	gerasimavicius	
ALPK3	LOF		g2p	
ALPL	LOF		g2p	
ALS2	LOF		g2p	
ALX1	LOF		g2p	
ALX3	AR	O95076	gerasimavicius	
ALX4	LOF		g2p	
AMACR	LOF		g2p	
AMER1	LOF		g2p	
AMN	AR	Q9BXJ7	gerasimavicius	
AMPD2	LOF		g2p	
AMT	AR	P48728	gerasimavicius	
ANAPC1	LOF		g2p	
ANGPTL3	AR	Q9Y5C1	gerasimavicius	
ANK2	HI	Q01484	gerasimavicius	
ANKH	LOF		g2p	
ANKRD17	LOF		g2p	
ANO10	AR	Q9NW15	gerasimavicius	
ANTXR1	LOF		g2p	
ANTXR2	AR	P58335	gerasimavicius	
AP1B1	AR	Q10567	gerasimavicius	
AP1G1	LOF		g2p	
AP1S2	LOF		g2p	
AP3B1	LOF		g2p	
AP3B2	LOF		g2p	
AP4B1	LOF		g2p	
AP4E1	LOF		g2p	
AP4M1	AR	O00189	gerasimavicius	
